usp_category,usp_class,usp_drug,kegg_id_drug,drug_example,kegg_id_drug_example,nomenclature
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Celecoxib,,Celecoxib,D00567,(JAN/USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac,D07816,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac potassium,D00903,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac sodium,D00904,(JP17/USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac diethylamine,D07817,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac hydroxyethylpyrrolidine,D07818,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diclofenac,DG00441,Diclofenac calcium,D07819,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Diflunisal,,Diflunisal,D00130,(JAN/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Etodolac,,Etodolac,D00315,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Fenoprofen,DG00754,Fenoprofen,D02350,(USAN/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Fenoprofen,DG00754,Fenoprofen calcium,D00968,(JAN/USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen,DG00755,Flurbiprofen,D00330,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen,DG00755,Flurbiprofen axetil,D01475,(JAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen,DG00755,Flurbiprofen sodium,D02290,(USP)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Flurbiprofen,DG00755,Esflurbiprofen,D10254,(JAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen,D00126,(JP17/USP/INN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen piconol,D01122,(JP17/USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen aluminum,D04490,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen lysine,D06606,(USAN)
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen arginine salt,D08058,
Analgesics,Nonsteroidal Anti-inflammatory Drugs,Ibuprofen,DG00245,Ibuprofen sodium,D08059,
